project_id,service_line,team,project_manager,overbudget_yes,budget,building_region,nda,total_hours,emp_count,month_duration
eaf0b097-0f09-e711-80fe-e0071b715b91,Commissioning,EN,81,0,10900.0,SF,False,11.5,8.0,25.561099817244706
8e48c14e-431e-e711-8102-e0071b715b91,Commissioning,SB,45,0,59310.0,SF,True,371.15,167.0,21.55280395901353
dfadd128-a336-e711-8105-e0071b715b91,Commissioning,SB,45,1,33190.0,SF,True,232.0,125.0,19.581510913981806
b84e915e-fc67-e711-810b-e0071b715b91,Commissioning,EN,45,1,80590.0,SF,True,525.25,250.0,35.64754923099037
f522c625-a906-e811-811d-e0071b715b91,Commissioning,SB,45,0,13770.0,SF,True,87.5,73.0,12.189161995112835
9d294b6d-ddfe-e611-810c-e0071b7458a1,Commissioning,SB,45,1,66590.0,SF,True,482.5,225.0,23.918355613051602
08a5833e-b118-e711-8112-e0071b7458a1,Commissioning,SB,81,0,6100.0,SF,False,33.75,18.0,12.87911456087394
b7f727f7-6e62-e711-811c-e0071b7458a1,Commissioning,SB,45,1,56060.0,SF,True,382.25,252.0,21.19140023409105
91db03c3-7cb6-e711-8126-e0071b7458a1,Commissioning,EN,45,1,160730.0,SF,True,1088.3,606.0,22.965563974619602
5445e695-11d6-e711-812b-e0071b7458a1,Commissioning,EN,81,0,25000.0,SF,False,125.5,57.0,36.27179202858375
6aa794b2-d4e5-e711-812d-e0071b7458a1,Commissioning,SB,45,1,24620.0,DV,True,160.5,106.0,26.481036571592846
95ddba67-8307-e811-812f-e0071b7458a1,Commissioning,SB,45,1,11950.0,SF,True,90.25,76.0,13.569067126635044
10cb571a-e218-e811-812f-e0071b7458a1,Commissioning,EN,81,1,71810.0,SF,False,451.75,175.0,24.838292367399742
8fc2b5cb-5077-e911-a977-000d3a37839b,PM TI,PM,79,1,297000.0,SF,False,1944.5,281.0,15.014682026324977
9c159a6f-f61b-e411-98c5-6c3be5a6aa7c,HPPM,PM,40,0,111060.0,SF,False,711.42,468.0,27.598102630444156
9900d651-031c-e411-98c5-6c3be5a6aa7c,LCCA,PM,24,0,9240.0,SF,False,39.5,19.0,9.856465225158628
3df8e848-bba5-e411-b301-6c3be5a6aa7c,LEED,PM,37,1,88110.64,SF,False,562.4699999999999,187.0,25.495390049076985
45e4e399-66a2-e411-98dc-6c3be5a8b8b0,M&V,EN,82,1,16485.0,SF,False,134.9,64.0,47.24532331259369
058b092f-6aa2-e411-98dc-6c3be5a8b8b0,Energy Modeling,EN,24,1,62834.0,SF,False,398.25,135.0,45.14261073122651
79f8d27b-db8a-e311-8b1b-78e3b51146cf,HPPM,PM,37,0,129379.0,SF,False,280.48,105.0,1.8070186246124151
02844a70-216f-e211-8c09-78e3b51146cf,LEED,PM,24,0,8680.0,SF,False,55.25,27.0,5.059652148914762
d731d0cd-da8d-e311-8a37-78e3b511b601,LCCA,PM,24,1,13640.0,SF,False,94.0,46.0,2.759810263044416
287a36af-0ac7-e211-8c54-78e3b511b601,HPPM,PM,24,0,31503.0,SF,False,166.25,57.0,9.856465225158628
08f21575-2d66-e511-80eb-c4346bacb92c,LEED,PM,37,1,71789.9,SF,False,470.26,175.0,46.7196451672519
9a2a0b10-e683-e511-80f1-c4346bacb92c,HPPM,PM,55,1,7200.0,SF,False,100.0,26.0,6.472412164520832
0b5e06d5-ae48-e811-8120-e0071b66cf61,PM TI,PM,79,1,297000.0,SF,False,2088.5,269.0,11.762048502022628
565eb0f9-213c-e711-8102-e0071b6ad191,HPPM,PM,37,1,127160.0,SF,False,691.75,385.0,22.341321177026224
d4a78005-8241-ea11-a812-000d3a368be7,Materials,SB,9,1,4000.0,SF,True,33.25,28.0,4.993942380747038
1ba5c216-8a6a-e811-a955-000d3a37839b,LEED,SB,67,0,0.0,SF,True,,,
21ea5731-42f8-e811-a965-000d3a37839b,Strategic Planning,SB,58,1,249500.0,SF,True,1558.0999999999997,978.0,11.992032690609664
fc5381e6-f428-e911-a964-000d3a378ca2,LEED,SB,39,1,36250.0,SF,False,282.96000000000004,175.0,16.887410419105116
ffcf6fd4-6f46-e911-a96a-000d3a378ca2,LEED,SB,78,0,5280.0,DV,False,32.5,23.0,1.2156307111028974
d1f47c20-95b9-e911-a97e-000d3a378f36,Strategic Planning,SB,84,0,15720.0,SF,True,86.0,31.0,2.464116306289657
